,Stock bought,Quantity,Present value,Value of stocks
0,WEC,60.76187140648698,88,5347.044683770854
1,APTV,62.38524861501102,96,5988.983867041058
2,ORLY,25.271670652319987,437,11043.720075063835
3,PRGO,18.255520602051114,50,912.7760301025556
4,AMP,27.007708216527345,165,4456.271855727012
5,DXCM,102.04081434053666,219,22346.938340577526
6,STE,38.287952587577756,150,5743.192888136663
7,LDOS,42.21224946520936,97,4094.588198125308
8,ATO,46.52691234823054,108,5024.906533608898
9,TRV,24.339720640648366,135,3285.862286487529
10,BIIB,15.987210426814926,294,4700.239865483588
11,EMN,32.09201382087704,76,2438.9930503866553
12,HAL,28.988917719352102,24,695.7340252644505
13,CERN,40.47899880938217,73,2954.9669130848984
14,CMCSA,94.52002944736788,44,4158.881295684187
15,SWK,15.992211800661774,165,2638.714947109193
16,GL,37.68873553303141,104,3919.628495435267
17,WBA,29.093052843915167,57,1658.3040121031645
18,AIG,38.52790776253332,50,1926.395388126666
19,PEP,20.55994929031062,132,2713.913306321002
20,V,52.91256369610437,190,10053.38710225983
21,INTC,63.53881231086303,59,3748.7899263409186
22,ALXN,15.089784980464858,107,1614.6069929097398
23,LVS,32.11459248693672,69,2215.906881598634
24,FANG,59.13257085948334,90,5321.9313773535005
25,PVH,13.24020982386961,105,1390.2220315063091
26,OTIS,22.25360917404495,44,979.1588036579778
27,SIVB,15.520720087900855,254,3942.2629023268173
28,IT,22.476960266872748,156,3506.4058016321487
29,CTAS,31.216367062864997,270,8428.41910697355
30,MRK,30.800104333849518,90,2772.0093900464567
31,AMCR,177.35191596377987,10,1773.5191596377988
32,LUV,121.05523886444678,54,6536.982898680126
33,HUM,14.930980440224248,361,5390.083938920953
34,APH,35.76952843998441,108,3863.1090715183163
35,BLL,50.52428700147924,63,3183.030081093192
36,WHR,11.388746366400627,144,1639.9794767616902
37,MSCI,31.806835210553874,264,8397.004495586223
38,EMR,22.72622058159303,75,1704.4665436194773
39,MYL,34.843204648667054,20,696.864092973341
40,CPB,27.046987413551353,47,1271.2084084369135
41,NOC,13.659176899950843,351,4794.3710918827455
42,RMD,25.34460606774295,155,3928.4139405001574
43,NLSN,37.61921934781432,19,714.7651676084721
44,ROST,31.388390017126014,116,3641.0532419866176
45,FB,19.833400164935348,209,4145.180634471488
46,ABBV,27.19000737357187,86,2338.3406341271807
47,TDY,10.962508075181233,357,3913.6153828397005
48,PLD,33.273630244397644,87,2894.805831262595
49,OTIS,22.25360917404495,44,979.1588036579778
50,AVGO,18.98536387950221,313,5942.418894284191
51,TXN,24.99276370710232,126,3149.0882270948923
52,CERN,19.790742552217917,73,1444.724206311908
53,MSCI,24.805520833234766,264,6548.657499973979
54,TIF,11.116161050336096,132,1467.3332586443646
55,ITW,14.028173433825481,179,2511.043044654761
56,DG,16.53749691196261,155,2563.3120213542043
57,KEYS,35.39823008849557,104,3681.4159292035397
58,HST,54.658210001169714,17,929.1895700198851
59,XRAY,19.002285763080472,56,1064.1280027325065
60,EXC,33.02458450934536,44,1453.0817184111959
61,NFLX,15.870497169308086,329,5221.39356870236
62,SWKS,11.926155232551475,120,1431.138627906177
63,ZION,41.116141760534205,50,2055.80708802671
64,RHI,19.78061165933589,62,1226.397922878825
65,KSS,20.00571757644969,47,940.2687260931355
66,CLX,10.704157350590389,150,1605.6236025885585
67,KSS,21.110763216453613,47,992.2058711733198
68,SYK,11.153577318971786,208,2319.9440823461314
69,MRO,69.69527459742514,13,906.0385697665268
70,PEP,11.424709333314274,132,1508.0616319974843
71,VRSK,13.27821410289542,150,1991.732115434313
72,COG,60.06374945453925,16,961.019991272628
73,TJX,30.209034246408798,61,1842.7510890309368
74,PLD,28.4247389694796,87,2472.952290344725
75,WDC,24.608477807601513,64,1574.9425796864969
76,EQIX,3.273514046600023,572,1872.4500346552131
77,PH,9.362504395638384,206,1928.675905501507
78,PBCT,81.83444464544958,16,1309.3511143271933
79,EIX,15.055274193170453,72,1083.9797419082727
80,KMI,54.79779068813407,20,1095.9558137626814
81,PSX,14.332926035269374,108,1547.9560118090924
82,CHD,22.264787078704746,69,1536.2703084306274
83,ANSS,10.682619308619236,259,2766.7984009323823
84,BIIB,3.4280622169021417,294,1007.8502917692297
85,FDX,5.631161176951868,153,861.5676600736358
86,ITW,8.073126243486996,179,1445.0895975841722
87,GS,4.648600660263586,230,1069.178151860625
88,CSCO,32.54389460577101,47,1529.5630464712374
89,ETN,23.77905176785853,93,2211.4518144108433
90,FCX,84.57467345935834,13,1099.4707549716584
91,HRB,37.199349227083,22,818.385682995826
92,KR,47.51127387772549,28,1330.3156685763138
93,UAA,60.240962471078106,21,1265.0602118926402
94,RJF,12.475347359406065,89,1110.3059149871399
95,ATO,11.503052207192901,108,1242.3296383768334
96,GE,59.93591751494945,11,659.2950926644439
97,FCX,53.0494037547655,13,689.6422488119515
98,APTV,11.630954994472564,96,1116.5716794693662
99,MPC,15.372683064023251,59,906.9883007773718
100,CLX,9.058395315277037,150,1358.7592972915556
101,NOW,5.509338495199715,291,1603.2175021031169
102,TEL,11.589139743865086,94,1089.379135923318
103,APTV,10.62093131837723,96,1019.6094065642139
104,ORCL,21.303481067667306,53,1129.0844965863673
105,NKE,12.090870448212346,101,1221.1779152694469
106,O,17.614807124702452,70,1233.0364987291716
107,FTV,13.25506153695084,77,1020.6397383452147
108,BXP,9.638738504212977,132,1272.313482556113
109,CMA,13.63613475836934,69,940.8932983274846
110,DFS,14.510583863020052,83,1204.3784606306644
111,AMD,37.93626619292643,49,1858.8770434533951
112,WMT,10.141820835672666,117,1186.593037773702
113,AES,65.49343745233567,19,1244.3753115943778
114,XRX,28.849889319100615,35,1009.7461261685215
115,DHR,7.165492189694422,154,1103.485797212941
116,MS,25.132775807248912,50,1256.6387903624457
117,XEL,15.70014580537782,61,957.7088941280471
118,BBY,14.01639744836378,85,1191.3937831109213
119,ICE,10.824464419338325,92,995.8507265791259
